date,long_tickers,short_tickers,gross_return,turnover_long,turnover_short,transaction_cost,net_return,model_name,cumulative_equity,cumulative_equity_gross
2026-05-01,"frozenset({'INDUSINDBK.NS', 'TCS.NS', 'BPCL.NS', 'HCLTECH.NS', 'CHOLAFIN.NS', 'NESTLEIND.NS'})","frozenset({'COFORGE.NS', 'HDFCBANK.NS', 'CIPLA.NS', 'ICICIBANK.NS', 'TATASTEEL.NS', 'APOLLOHOSP.NS'})",-0.04454691037827067,0.5,0.8333333333333334,0.0013333333333333335,-0.045880243711604,Ridge,1.064710972402042,1.0945440716172548
2026-06-01,"frozenset({'PERSISTENT.NS', 'SIEMENS.NS', 'WIPRO.NS', 'INDUSINDBK.NS', 'HCLTECH.NS', 'NESTLEIND.NS'})","frozenset({'HDFCBANK.NS', 'CIPLA.NS', 'ICICIBANK.NS', 'ITC.NS', 'SUNPHARMA.NS', 'TRENT.NS'})",0.1530025054089853,0.5,0.5,0.001,0.1520025054089853,Ridge,1.2265497077435894,1.2620120568552464
2026-07-01,"frozenset({'BEL.NS', 'IOC.NS', 'ZYDUSLIFE.NS', 'VBL.NS', 'ONGC.NS', 'COALINDIA.NS'})","frozenset({'COFORGE.NS', 'ICICIBANK.NS', 'HAL.NS', 'TCS.NS', 'HCLTECH.NS', 'INFY.NS'})",-0.04528550048338037,1.0,0.8333333333333334,0.0018333333333333335,-0.0471188338167137,Ridge,1.1687561158964805,1.2048612092444964
2026-08-01,"frozenset({'VBL.NS', 'GODREJCP.NS', 'TRENT.NS', 'POWERGRID.NS', 'ONGC.NS', 'COALINDIA.NS'})","frozenset({'HDFCLIFE.NS', 'COFORGE.NS', 'KOTAKBANK.NS', 'ICICIBANK.NS', 'HAL.NS', 'AXISBANK.NS'})",0.012440672389983292,0.5,0.5,0.001,0.011440672389983291,Ridge,1.1821274717222416,1.2198504928241063
2023-10-01,"frozenset({'PERSISTENT.NS', 'ADANIPORTS.NS', 'TRENT.NS', 'ABB.NS', 'GODREJCP.NS', 'COALINDIA.NS'})","frozenset({'HDFCLIFE.NS', 'DIVISLAB.NS', 'WIPRO.NS', 'MPHASIS.NS', 'HINDALCO.NS', 'APOLLOHOSP.NS'})",-0.012537055705924005,1.0,1.0,0.002,-0.014537055705924005,RandomForest,0.985462944294076,0.987462944294076
2023-11-01,"frozenset({'PERSISTENT.NS', 'TITAN.NS', 'ZYDUSLIFE.NS', 'ADANIPORTS.NS', 'ABB.NS', 'GODREJCP.NS'})","frozenset({'HDFCLIFE.NS', 'DIVISLAB.NS', 'WIPRO.NS', 'HINDALCO.NS', 'HAL.NS', 'VBL.NS'})",0.01858665749975294,0.3333333333333333,0.3333333333333333,0.0006666666666666666,0.017919990833086274,RandomForest,1.003122431222172,1.0058165798333676
2023-12-01,"frozenset({'ADANIPORTS.NS', 'IOC.NS', 'SHRIRAMFIN.NS', 'TRENT.NS', 'ULTRACEMCO.NS', 'COALINDIA.NS'})","frozenset({'WIPRO.NS', 'JSWSTEEL.NS', 'HAL.NS', 'TECHM.NS', 'VBL.NS', 'SBIN.NS'})",0.07893749717416887,0.8333333333333334,0.5,0.0013333333333333335,0.07760416384083553,RandomForest,1.0809689087271548,1.0852132232616962
2024-01-01,"frozenset({'BEL.NS', 'LT.NS', 'TRENT.NS', 'ZYDUSLIFE.NS', 'ADANIPORTS.NS', 'COALINDIA.NS'})","frozenset({'HDFCLIFE.NS', 'DIVISLAB.NS', 'HDFCBANK.NS', 'ASIANPAINT.NS', 'JSWSTEEL.NS', 'EICHERMOT.NS'})",0.15749034418087143,0.5,0.8333333333333334,0.0013333333333333335,0.1561570108475381,RandomForest,1.2497697823331124,1.2561238273028137
2024-02-01,"frozenset({'BEL.NS', 'TRENT.NS', 'ZYDUSLIFE.NS', 'BPCL.NS', 'POWERGRID.NS', 'ONGC.NS'})","frozenset({'KOTAKBANK.NS', 'HDFCBANK.NS', 'BRITANNIA.NS', 'EICHERMOT.NS', 'HINDALCO.NS', 'CHOLAFIN.NS'})",-0.041541353864372424,0.5,0.6666666666666666,0.0011666666666666665,-0.04270802053103909,RandomForest,1.1963945888101577,1.2039427428953577
2024-03-01,"frozenset({'BEL.NS', 'IOC.NS', 'ZYDUSLIFE.NS', 'TRENT.NS', 'ABB.NS', 'COALINDIA.NS'})","frozenset({'DIVISLAB.NS', 'COFORGE.NS', 'HDFCBANK.NS', 'MPHASIS.NS', 'JSWSTEEL.NS', 'INFY.NS'})",0.030957923531225635,0.5,0.8333333333333334,0.0013333333333333335,0.029624590197892302,RandomForest,1.2318372882186344,1.2412143102658864
2024-04-01,"frozenset({'BEL.NS', 'TRENT.NS', 'IOC.NS', 'ZYDUSLIFE.NS', 'BPCL.NS', 'ABB.NS'})","frozenset({'PERSISTENT.NS', 'HDFCBANK.NS', 'ASIANPAINT.NS', 'BRITANNIA.NS', 'JSWSTEEL.NS', 'HCLTECH.NS'})",0.08680725629859787,0.16666666666666666,0.6666666666666666,0.0008333333333333333,0.08597392296526453,RandomForest,1.3377431723416835,1.3489607190186244
2024-05-01,"frozenset({'BEL.NS', 'SIEMENS.NS', 'HAL.NS', 'ZYDUSLIFE.NS', 'TRENT.NS', 'ABB.NS'})","frozenset({'DRREDDY.NS', 'HDFCBANK.NS', 'ASIANPAINT.NS', 'TITAN.NS', 'SHRIRAMFIN.NS', 'NESTLEIND.NS'})",-0.01777838609384781,0.3333333333333333,0.6666666666666666,0.001,-0.018778386093847813,RandomForest,1.3126225145570425,1.3249783745304766
2024-06-01,"frozenset({'BEL.NS', 'SIEMENS.NS', 'HAL.NS', 'TRENT.NS', 'ABB.NS', 'COALINDIA.NS'})","frozenset({'HDFCBANK.NS', 'ASIANPAINT.NS', 'WIPRO.NS', 'MPHASIS.NS', 'ITC.NS', 'CHOLAFIN.NS'})",-0.06697000751835329,0.16666666666666666,0.6666666666666666,0.0008333333333333333,-0.06780334085168663,RandomForest,1.2236223227929335,1.236244562826515
2024-07-01,"frozenset({'BEL.NS', 'HAL.NS', 'M&M.NS', 'ZYDUSLIFE.NS', 'TRENT.NS', 'COALINDIA.NS'})","frozenset({'JSWSTEEL.NS', 'HDFCBANK.NS', 'APOLLOHOSP.NS', 'BAJFINANCE.NS', 'CHOLAFIN.NS', 'NESTLEIND.NS'})",-0.027631118799730736,0.3333333333333333,0.6666666666666666,0.001,-0.028631118799730737,RandomForest,1.1885886467030464,1.2020857424455345
2024-08-01,"frozenset({'BEL.NS', 'TRENT.NS', 'HAL.NS', 'BPCL.NS', 'ABB.NS', 'ONGC.NS'})","frozenset({'COFORGE.NS', 'KOTAKBANK.NS', 'TATASTEEL.NS', 'BAJFINANCE.NS', 'CHOLAFIN.NS', 'NESTLEIND.NS'})",-0.09937110957919384,0.5,0.5,0.001,-0.10037110957919385,RandomForest,1.0692886854002293,1.0826331484093927
2024-09-01,"frozenset({'BEL.NS', 'DIVISLAB.NS', 'ZYDUSLIFE.NS', 'TVSMOTOR.NS', 'TRENT.NS', 'SHRIRAMFIN.NS'})","frozenset({'KOTAKBANK.NS', 'HDFCBANK.NS', 'BAJFINANCE.NS', 'RELIANCE.NS', 'AXISBANK.NS', 'ULTRACEMCO.NS'})",0.01733212967616806,0.6666666666666666,0.6666666666666666,0.0013333333333333333,0.01599879634283473,RandomForest,1.086396017309645,1.1013974865293426
2024-10-01,"frozenset({'DIVISLAB.NS', 'COFORGE.NS', 'TRENT.NS', 'INDUSINDBK.NS', 'ZYDUSLIFE.NS', 'ADANIPORTS.NS'})","frozenset({'TATACONSUM.NS', 'ASIANPAINT.NS', 'TVSMOTOR.NS', 'BPCL.NS', 'SHRIRAMFIN.NS', 'NESTLEIND.NS'})",0.039820471847791174,0.5,1.0,0.0015,0.03832047184779117,RandomForest,1.1280272253065118,1.1452556541349124
2024-11-01,"frozenset({'DIVISLAB.NS', 'COFORGE.NS', 'PERSISTENT.NS', 'INDUSINDBK.NS', 'TRENT.NS', 'ABB.NS'})","frozenset({'SBILIFE.NS', 'NTPC.NS', 'ASIANPAINT.NS', 'BRITANNIA.NS', 'ADANIPORTS.NS', 'BAJAJFINSV.NS'})",0.05719053456628931,0.3333333333333333,0.8333333333333334,0.0011666666666666668,0.05602386789962264,RandomForest,1.1912236735642616,1.2107534372099533
2024-12-01,"frozenset({'DIVISLAB.NS', 'COFORGE.NS', 'CIPLA.NS', 'INDUSINDBK.NS', 'BAJAJ-AUTO.NS', 'CHOLAFIN.NS'})","frozenset({'SIEMENS.NS', 'ONGC.NS', 'ASIANPAINT.NS', 'HINDUNILVR.NS', 'HEROMOTOCO.NS', 'GODREJCP.NS'})",-0.052905929927531035,0.5,0.8333333333333334,0.0013333333333333335,-0.05423926326086437,RandomForest,1.1266125791312356,1.1466974007014061
2025-01-01,"frozenset({'ASIANPAINT.NS', 'IOC.NS', 'INDUSINDBK.NS', 'ZYDUSLIFE.NS', 'ADANIPORTS.NS', 'GODREJCP.NS'})","frozenset({'BEL.NS', 'DRREDDY.NS', 'COFORGE.NS', 'HAL.NS', 'TRENT.NS', 'VBL.NS'})",0.08511961081944767,0.8333333333333334,1.0,0.0018333333333333335,0.08328627748611434,RandomForest,1.2204439470161066,1.244303837176782
