date,long_tickers,short_tickers,gross_return,turnover_long,turnover_short,transaction_cost,net_return,model_name,cumulative_equity,cumulative_equity_gross
2023-09-01,"frozenset({'TSLA', 'BA', 'AMD', 'SCHW', 'NVDA', 'META'})","frozenset({'XOM', 'COST', 'PEP', 'CVX', 'UNH', 'WMT'})",-0.027623018507368764,1.0,1.0,0.002,-0.029623018507368766,Ridge,0.9703769814926312,0.9723769814926312
2023-10-01,"frozenset({'TSLA', 'AMD', 'SCHW', 'NVDA', 'CRM', 'CAT'})","frozenset({'PEP', 'COP', 'MCD', 'IBM', 'UNH', 'WMT'})",0.15463261202157297,0.3333333333333333,0.5,0.0008333333333333333,0.15379927868823964,Ridge,1.119620261301869,1.1227381740104894
2023-11-01,"frozenset({'TSLA', 'SCHW', 'AMD', 'NVDA', 'CRM', 'CAT'})","frozenset({'CB', 'MCD', 'IBM', 'KO', 'UNH', 'WMT'})",0.10067901692832039,0.0,0.3333333333333333,0.0003333333333333333,0.10034568359498705,Ridge,1.231969321789003,1.2357743496377631
2023-12-01,"frozenset({'TSLA', 'SCHW', 'INTC', 'AMD', 'NVDA', 'CRM'})","frozenset({'TJX', 'COP', 'MRK', 'MCD', 'KO', 'WMT'})",-0.025756888703011092,0.16666666666666666,0.5,0.0006666666666666666,-0.02642355536967776,Ridge,1.199416312200967,1.2039446472521074
2024-01-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'SCHW'})","frozenset({'COST', 'COP', 'MCD', 'IBM', 'KO', 'WMT'})",0.06099636083245477,0.16666666666666666,0.3333333333333333,0.0005,0.06049636083245477,Ridge,1.2719766342122087,1.2773808893781995
2024-02-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'SCHW'})","frozenset({'TJX', 'JNJ', 'PEP', 'COP', 'KO', 'WMT'})",-0.04054502898453782,0.0,0.5,0.0005,-0.041045028984537824,Ridge,1.2197683163933137,1.2255894441940658
2024-03-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'ADBE'})","frozenset({'TJX', 'JNJ', 'PEP', 'CB', 'KO', 'WMT'})",-0.07489076146018471,0.16666666666666666,0.16666666666666666,0.0003333333333333333,-0.07522409479351805,Ridge,1.128012348934813,1.1338041174808076
2024-04-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'META'})","frozenset({'PEP', 'PG', 'MCD', 'KO', 'UNH', 'WMT'})",0.060048307477571825,0.16666666666666666,0.5,0.0006666666666666666,0.059381640810905155,Ridge,1.1949955730695254,1.2018871357466319
2024-05-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'PLD'})","frozenset({'PEP', 'PG', 'PM', 'CVX', 'KO', 'UNH'})",0.04536982758927276,0.16666666666666666,0.3333333333333333,0.0005,0.04486982758927276,Ridge,1.2486148184030992,1.2564165478772213
2024-06-01,"frozenset({'BA', 'TSLA', 'INTC', 'AMD', 'NVDA', 'META'})","frozenset({'PEP', 'PG', 'PM', 'CVX', 'MCD', 'KO'})",-0.047957552886359764,0.16666666666666666,0.16666666666666666,0.0003333333333333333,-0.048290886219693095,Ridge,1.1883181022753724,1.1961618848351019
