model_name,feature,mean_importance,std_importance
RandomForest,downside_vol_12m,0.252821838253239,0.0916477195542032
RandomForest,mom_1m,0.0901886292570654,0.027838351024586434
RandomForest,mom_3m,0.0798276192708398,0.013922277666216698
RandomForest,str_reversal,0.0754712182619561,0.020404296268829593
RandomForest,mom_24m,0.05961456602444399,0.013575454625497693
RandomForest,dist_from_ma_6m,0.04104149863342291,0.017441085899732974
RandomForest,beta_12m,0.03165202286405431,0.011970024065347728
RandomForest,volume_trend,0.028447570923831125,0.010275936693731792
RandomForest,mom_6m,0.025919506085416735,0.013399488902556449
RandomForest,avg_dollar_volume_3m,0.023611346813362074,0.009299351069219293
RandomForest,vol_3m,0.022887118285040784,0.01056750309508632
RandomForest,size_proxy,0.02283544164290801,0.00857845372264847
RandomForest,price_to_52w_high,0.02268577588871539,0.006754410827569869
RandomForest,avg_dollar_volume_12m,0.02254414145833594,0.008059562072113188
RandomForest,mom_9m,0.02228532156080351,0.008115713179517536
RandomForest,price_to_52w_low,0.020626859636597196,0.007186981909097181
RandomForest,vol_12m,0.019817135709985927,0.00992666043305047
RandomForest,mom_12m,0.01961104564843038,0.007625162790679765
RandomForest,ltr_reversal,0.018451585592098727,0.013675824751228787
RandomForest,kurt_12m,0.018116639227674248,0.00976738213037614
RandomForest,vol_6m,0.016923938065222993,0.006424715346614038
RandomForest,skew_12m,0.015473926287648052,0.010247013042369706
RandomForest,mom_12m_ex_1m,0.01437390706362527,0.00935811232277335
RandomForest,dist_from_ma_12m,0.014283080854227716,0.0071783149254678385
RandomForest,idio_vol_12m,0.011085698844453384,0.010638033979177203
RandomForest,max_ret_12m,0.009402567846600995,0.005228014469584605
RandomForest,amihud_illiquidity,0.0,0.0
Ridge,mom_12m,0.028047463826527414,0.03367949088481589
Ridge,mom_12m_ex_1m,0.024590190744039668,0.029335219613004598
Ridge,dist_from_ma_12m,0.02039197823187939,0.024442835380962303
Ridge,dist_from_ma_6m,0.01512842057797044,0.01781923749237644
Ridge,vol_12m,0.014697045832329638,0.016450689567119064
Ridge,idio_vol_12m,0.009221321824611637,0.01083100547599873
Ridge,mom_9m,0.005890792044429505,0.006874079173880977
Ridge,mom_3m,0.005035449776961086,0.005919336007069379
Ridge,beta_12m,0.004927520528080962,0.005637287001619862
Ridge,downside_vol_12m,0.004879617673844767,0.004648677145799454
Ridge,avg_dollar_volume_12m,0.004586033229759879,0.005207559997188051
Ridge,size_proxy,0.004090289275874819,0.00413486984805409
Ridge,avg_dollar_volume_3m,0.003770931451409649,0.0043113162196219855
Ridge,price_to_52w_high,0.0033165765963677194,0.003235359495807585
Ridge,str_reversal,0.0031319766728119293,0.003589289370852557
Ridge,mom_1m,0.0031319766727927333,0.0035892893708372514
Ridge,mom_24m,0.003003858828903765,0.002992027967403417
Ridge,skew_12m,0.002952902269181422,0.0031453090011734314
Ridge,mom_6m,0.0029288247585233756,0.0035282852215186003
Ridge,max_ret_12m,0.002424531587527994,0.002474065275189149
Ridge,vol_6m,0.0022739966800993604,0.0022827637179583865
Ridge,ltr_reversal,0.00225818238376434,0.002416895514541529
Ridge,volume_trend,0.0020055040745076418,0.0017910299329117944
Ridge,price_to_52w_low,0.0015737166820673951,0.001488611371279993
Ridge,vol_3m,0.0011938995522100663,0.0008269613633013699
Ridge,amihud_illiquidity,0.0010529425097025398,0.001036468801881266
Ridge,kurt_12m,0.0005827113905984195,0.0005536775754068124
XGBoost,downside_vol_12m,0.2245739981946018,0.1219860540997144
XGBoost,mom_1m,0.09467256172663635,0.05666765516966692
XGBoost,price_to_52w_low,0.07302150037139654,0.035622014213446206
XGBoost,mom_24m,0.05590643531953295,0.025763080411921047
XGBoost,volume_trend,0.04571765547411309,0.025302950178125852
XGBoost,beta_12m,0.04080957846923007,0.024243824177322744
XGBoost,dist_from_ma_6m,0.040295693609449595,0.028493690079032668
XGBoost,mom_6m,0.03665372537862924,0.02245296237187111
XGBoost,amihud_illiquidity,0.03551565917829672,0.01978646629641327
XGBoost,mom_3m,0.03149453457444906,0.018952144768448677
XGBoost,mom_12m_ex_1m,0.028388092397815652,0.017360721218306986
XGBoost,vol_3m,0.026642074291076925,0.02143964702714669
XGBoost,vol_12m,0.025867548150320847,0.021590376811528915
XGBoost,max_ret_12m,0.025855461963348918,0.016001091785396496
XGBoost,kurt_12m,0.022836255530516308,0.016722296286825467
XGBoost,avg_dollar_volume_3m,0.02283502546035581,0.013789512217020008
XGBoost,price_to_52w_high,0.022714865730247565,0.02083920553357971
XGBoost,ltr_reversal,0.021037878675593272,0.01388748260107248
XGBoost,avg_dollar_volume_12m,0.020194036886096,0.015867619615913542
XGBoost,mom_9m,0.018462053086194728,0.019952302555432937
XGBoost,dist_from_ma_12m,0.018358876669986382,0.020698073169688774
XGBoost,mom_12m,0.01794537218908469,0.016972994624987924
XGBoost,idio_vol_12m,0.014836858647565046,0.014705762936369632
XGBoost,vol_6m,0.013433718536463048,0.017692565246269505
XGBoost,skew_12m,0.012305584710298313,0.01262174621961721
XGBoost,size_proxy,0.009624950044477979,0.015250450546379076
XGBoost,str_reversal,0.0,0.0
