model_name,feature,mean_importance,std_importance
RandomForest,mom_24m,0.1269035941063892,0.0176933780224767
RandomForest,downside_vol_12m,0.0904915613398952,0.0341346238516408
RandomForest,vol_6m,0.0789135213334964,0.0210604157094962
RandomForest,mom_3m,0.0693867540496567,0.0167627701010303
RandomForest,dist_from_ma_12m,0.0685026240702313,0.0181001826250129
RandomForest,ltr_reversal,0.0501799794752437,0.0116561617327615
RandomForest,price_to_52w_high,0.0488238139390688,0.014901740394781
RandomForest,vol_3m,0.0437019020026051,0.0119396343003843
RandomForest,mom_1m,0.0371756156810694,0.0118544727271537
RandomForest,vol_12m,0.0369714983531884,0.0160107358150446
RandomForest,mom_12m,0.0354156704337329,0.0086525370509154
RandomForest,idio_vol_12m,0.0343532454893448,0.0386486113916162
RandomForest,dist_from_ma_6m,0.0324059398362338,0.0134538346307651
RandomForest,str_reversal,0.0316567804115494,0.0100097303470372
RandomForest,price_to_52w_low,0.0293419072970322,0.0096019039724912
RandomForest,mom_6m,0.0279688960339403,0.00980297629677
RandomForest,volume_trend,0.0244995217104643,0.006993148514239
RandomForest,mom_9m,0.0236635301026426,0.0102652183891932
RandomForest,skew_12m,0.0221363129679433,0.0066197461345145
RandomForest,mom_12m_ex_1m,0.0203913354715413,0.0082764775213003
RandomForest,avg_dollar_volume_3m,0.0169858320666075,0.0058218105835105
RandomForest,kurt_12m,0.0168035689149763,0.0070246942396711
RandomForest,max_ret_12m,0.0120986488861415,0.0060496830985979
RandomForest,beta_12m,0.0085999704091736,0.0050599360805043
RandomForest,size_proxy,0.0066901686066573,0.0042838141265127
RandomForest,avg_dollar_volume_12m,0.0059378070111735,0.0028421611605475
RandomForest,amihud_illiquidity,0.0,0.0
Ridge,vol_12m,0.0012319388261648,0.0009579699562716
Ridge,downside_vol_12m,0.0010491286306747,0.0008740844926749
Ridge,ltr_reversal,0.0008622991591909,0.0009168195809949
Ridge,price_to_52w_high,0.0008263932572968,0.0006758575369065
Ridge,max_ret_12m,0.0008069113835452,0.0005623039121739
Ridge,price_to_52w_low,0.0007151587617421,0.0005815352398508
Ridge,idio_vol_12m,0.000642547270818,0.000368209602645
Ridge,vol_6m,0.0006324808286507,0.0003506184920015
Ridge,vol_3m,0.0005276476706403,0.0003191676973797
Ridge,kurt_12m,0.0003986837865252,0.0004081052393081
Ridge,size_proxy,0.0003588449803479,0.0002580248714298
Ridge,amihud_illiquidity,0.0003436806977111,0.0003071831185336
Ridge,mom_3m,0.0003397474466918,0.0004415959004941
Ridge,mom_12m,0.000309893838045,0.0002718617471341
Ridge,skew_12m,0.0002679108739816,0.0002579607468429
Ridge,dist_from_ma_6m,0.0002562325761746,0.0002720269830214
Ridge,beta_12m,0.0002509469391335,0.0003283294429106
Ridge,mom_12m_ex_1m,0.0002154047637205,0.0001822898078309
Ridge,mom_1m,0.0001900148697942,0.0002745801264072
Ridge,str_reversal,0.0001900148697942,0.0002745801264072
Ridge,mom_6m,0.0001716805435844,0.0002073822460191
Ridge,avg_dollar_volume_3m,0.0001664851470385,0.0001305356669193
Ridge,mom_24m,0.000141833766504,0.0001841872613187
Ridge,avg_dollar_volume_12m,0.0001350400726458,8.424766727499518e-05
Ridge,mom_9m,0.0001265611449865,0.0001651112668263
Ridge,volume_trend,8.364055506027249e-05,0.0001238287116515
Ridge,dist_from_ma_12m,5.69285718035739e-05,7.735589934589105e-05
XGBoost,downside_vol_12m,0.124425033521321,0.0376039025259881
XGBoost,vol_6m,0.0688676392763025,0.035427400057139
XGBoost,mom_1m,0.0650606074163483,0.0241937672864047
XGBoost,mom_3m,0.0634553048035336,0.0390617313472099
XGBoost,price_to_52w_high,0.0575718988871408,0.037430059186455
XGBoost,mom_6m,0.0540966092505388,0.0217592082741401
XGBoost,skew_12m,0.0487975897784862,0.030064266424388
XGBoost,avg_dollar_volume_3m,0.047652944508526,0.0334503029441442
XGBoost,amihud_illiquidity,0.0457675282119049,0.0357621469722555
XGBoost,price_to_52w_low,0.0439903541571564,0.0255120466345151
XGBoost,vol_12m,0.0385659680598311,0.0436034993652514
XGBoost,mom_12m_ex_1m,0.0361309351865202,0.0263097318854833
XGBoost,mom_24m,0.0344096473418176,0.0268955740528024
XGBoost,kurt_12m,0.0310304686427116,0.0245239959353718
XGBoost,idio_vol_12m,0.0308836738113313,0.0372559953250837
XGBoost,mom_12m,0.0290226221291555,0.0265557180106945
XGBoost,ltr_reversal,0.0257582421311073,0.0246453482549039
XGBoost,mom_9m,0.02304846374318,0.0272849258433701
XGBoost,volume_trend,0.0219191044775976,0.0183929978492289
XGBoost,max_ret_12m,0.0209867964084777,0.0209066248112262
XGBoost,dist_from_ma_12m,0.0207147074656354,0.026624985830169
XGBoost,vol_3m,0.0204387860527883,0.023334287475628
XGBoost,dist_from_ma_6m,0.0193271451733178,0.0277135627793793
XGBoost,avg_dollar_volume_12m,0.0157601127090553,0.0208378150897419
XGBoost,beta_12m,0.0123178089787769,0.0170095363580256
XGBoost,size_proxy,0.0,0.0
XGBoost,str_reversal,0.0,0.0
