model_name,sharpe_ratio,max_drawdown,hit_rate,annualized_return,ic,icir,naive_t_stat,naive_p_value,hac_t_stat,hac_p_value,oos_r2_zero,oos_r2_mean
RandomForest,0.2069,-0.3614,0.5143,0.0195,0.0019,0.0082,0.3533,0.726,0.3218,0.7476,0.027033,-0.018395
Ridge,0.6293,-0.2942,0.5429,0.188,0.037,0.133,1.0747,0.2901,0.9764,0.3289,0.038641,-0.006245
XGBoost,0.0709,-0.2309,0.5143,-0.0085,0.0417,0.2378,0.1211,0.9043,0.1206,0.904,0.027112,-0.018312
