fold_id,model_name,selected_params
14,Ridge,"{""alpha"": 100000.0}"
14,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
14,XGBoost,"{""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01}"
15,Ridge,"{""alpha"": 50000.0}"
15,RandomForest,"{""n_estimators"": 100, ""max_depth"": 5}"
15,XGBoost,"{""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01}"
16,Ridge,"{""alpha"": 100000.0}"
16,RandomForest,"{""n_estimators"": 200, ""max_depth"": 3}"
16,XGBoost,"{""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01}"
17,Ridge,"{""alpha"": 100000.0}"
17,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
17,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
18,Ridge,"{""alpha"": 100000.0}"
18,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
18,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
19,Ridge,"{""alpha"": 100000.0}"
19,RandomForest,"{""n_estimators"": 50, ""max_depth"": 5}"
19,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.03}"
20,Ridge,"{""alpha"": 50000.0}"
20,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
20,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
21,Ridge,"{""alpha"": 50000.0}"
21,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
21,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
22,Ridge,"{""alpha"": 50000.0}"
22,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
22,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
23,Ridge,"{""alpha"": 50000.0}"
23,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
